Code du domaine fonctionnel;Intitulé du domaine fonctionnel;Désignation du domaine fonctionnel Niv 1;Désignation du groupe de domaine fonctionnel ;Remarque ;Description;;;;;;
111PVALO;REAL PROG RECH VALO;GPEDFUDS;Groupe DF 111 Rech Sc de l'homme;Exécution;Réaliser des programmes de recherche valorisée;;;;;;
111RI;ACT REL INTERNAT;GPEDFUDS;Groupe DF 111 Rech Sc de l'homme;Exécution;Réaliser des actions de relations internationales dans le cadre de la recherche;;;;;;
111SRCH;REAL PREST RECH;GPEDFUDS;Groupe DF 111 Rech Sc de l'homme;Exécution;Réaliser des prestations de service (UB Recherche);;;;;;
111SVALO;REAL PREST RECH VALO;GPEDFUDS;Groupe DF 111 Rech Sc de l'homme;Exécution;Réaliser des prestations de service (Valorisation de la Recherche));;;;;;
112;Rech univ transversa;LOLF_CUMUL;Groupe DF 112 Rech interdisciplinaire;Budget;;;;;;;
112ADM;ADM UNITES RECHERCHE;GPEDFUDS;Groupe DF 112 Rech interdisciplinaire;Exécution;Administration et fonctionnement des unités de recherche;;;;;;
112COM;COM EVT SCIENTIFIQUES;GPEDFUDS;Groupe DF 112 Rech interdisciplinaire;Exécution;Communication et événements scientifiques;;;;;;
112PRCH;REAL PROG RECHERCHE;GPEDFUDS;Groupe DF 112 Rech interdisciplinaire;Exécution;Réaliser des programmes de recherche;;;;;;
112PVALO;REAL PROG RECH VALO;GPEDFUDS;Groupe DF 112 Rech interdisciplinaire;Exécution;Réaliser des programmes de recherche valorisée;;;;;;
112RI;ACT REL INTERNAT;GPEDFUDS;Groupe DF 112 Rech interdisciplinaire;Exécution;Réaliser des actions de relations internationales dans le cadre de la recherche;;;;;;
112SRCH;REAL PREST RECH;GPEDFUDS;Groupe DF 112 Rech interdisciplinaire;Exécution;Réaliser des prestations de service (UB Recherche);;;;;;
112SVALO;REAL PREST RECH VALO;GPEDFUDS;Groupe DF 112 Rech interdisciplinaire;Exécution;Réaliser des prestations de service (Valorisation de la Recherche));;;;;;
113;Diffusion savoirs;LOLF_CUMUL;Groupe DF 113 Diffusion des savoirs;Budget;;;;;;;
113ACC;FAV ACCES MUSEES COLL;GPEDFUDS;Groupe DF 113 Diffusion des savoirs;Exécution;Favoriser l'accès aux musées et collections (ex Vacations);;;;;;
113ADM;ADM SERVICES;GPEDFUDS;Groupe DF 113 Diffusion des savoirs;Exécution;Administration et fonctionnement des musées et collections;;;;;;
113COLL;ACQU ENTRETIEN COLLEC;GPEDFUDS;Groupe DF 113 Diffusion des savoirs;Exécution;Acquisition et entretien des collections;;;;;;
113COM;COM EVT SCI CULT;GPEDFUDS;Groupe DF 113 Diffusion des savoirs;Exécution;Organiser la communication et l'évenementiel des manifestations culturelles, scientifiques et techniques;;;;;;
113PUBL;ACTIVITES PUBLICATIONS;GPEDFUDS;Groupe DF 113 Diffusion des savoirs;Exécution;Activités de publications culturelles, scientifiques et techniques;;;;;;
114;Immobilier;LOLF_CUMUL;Groupe DF 114 Immobilier;Budget;;;;;;;
