Structure;Code;Label;fleche;pluri;eotp;cc;cp;groupe1;groupe2
LGE8;NA;Non affecté;non;non;NA;LGE8;LGE8;Composantes;LGE
MAI1;NA;Non affecté;non;non;NA;MAI1LI;MAI1;Composantes;MAI
MAI2;NA;Non affecté;non;non;NA;MAI2LA;MAI2;Composantes;MAI
MAI2A;NA;Non affecté;non;non;NA;MAI2LAA;MAI2A;Composantes;MAI
MAI2B;NA;Non affecté;non;non;NA;MAI2LAB;MAI2B;Composantes;MAI
MAI2IM;NA;Non affecté;non;non;NA;MAI2IM;MAI2IM;Composantes;MAI
MAI3;NA;Non affecté;non;non;NA;MAI3DNC;MAI3;Composantes;MAI
MAI3A;NA;Non affecté;non;non;NA;MAI3DNCA;MAI3A;Composantes;MAI
MAI3B;NA;Non affecté;non;non;NA;MAI3DNCB;MAI3B;Composantes;MAI
MAI4DUA2;NA;Non affecté;non;non;NA;MAI4DUA2;MAI4DUA2;Composantes;MAI
MAI5;NA;Non affecté;non;non;NA;MAI5PAG;MAI5;Composantes;MAI
MAI71;NA;Non affecté;non;non;NA;MAI71;MAI71;Composantes;MAI
MAI72;NA;Non affecté;non;non;NA;MAI72;MAI72;Composantes;MAI
MAI8;NA;Non affecté;non;non;NA;MAI8BIB;MAI8;Composantes;MAI
MED1;NA;Non affecté;non;non;NA;MED1LI;MED1;Composantes;MED
MED2;NA;Non affecté;non;non;NA;MED2LA;MED2;Composantes;MED
MED2IM;NA;Non affecté;non;non;NA;MED2IM;MED2IM;Composantes;MED
MED2SC;NA;Non affecté;non;non;NA;MED2SC;MED2SC;Composantes;MED
MED3;NA;Non affecté;non;non;NA;MED3DNC;MED3;Composantes;MED
MED3HO;NA;Non affecté;non;non;NA;MED3HO;MED3HO;Composantes;MED
MED5;NA;Non affecté;non;non;NA;MED5DEF;MED5;Composantes;MED
MED5FCFI;NA;Non affecté;non;non;NA;MED5FCFI;MED5FCFI;Composantes;MED
MED8;NA;Non affecté;non;non;NA;MED8BIB;MED8;Composantes;MED
ODO1;NA;Non affecté;non;non;NA;ODO1LI;ODO1;Composantes;ODO
ODO2;NA;Non affecté;non;non;NA;ODO2LA;ODO2;Composantes;ODO
ODO3;NA;Non affecté;non;non;NA;ODO3DNC;ODO3;Composantes;ODO
ODO4;NA;Non affecté;non;non;NA;ODO4DUC;ODO4;Composantes;ODO
ODO4DU1;NA;Non affecté;non;non;NA;ODO4DU1;ODO4DU1;Composantes;ODO
ODO4DU3;NA;Non affecté;non;non;NA;ODO4DU3;ODO4DU3;Composantes;ODO
ODO4DU4;NA;Non affecté;non;non;NA;ODO4DU4;ODO4DU4;Composantes;ODO
ODO4DU6;NA;Non affecté;non;non;NA;ODO4DU6;ODO4DU6;Composantes;ODO
ODO4DU7;NA;Non affecté;non;non;NA;ODO4DU7;ODO4DU7;Composantes;ODO
ODO4DU8;NA;Non affecté;non;non;NA;ODO4DU8;ODO4DU8;Composantes;ODO
ODO5ND2;NA;Non affecté;non;non;NA;ODO5ND2;ODO5ND2;Composantes;ODO
P7R10MISH;NA;Non affecté;non;non;NA;P7R10MISH1;P7R10MISH;Recherche;MISH
P7R11CDPF;NA;Non affecté;non;non;NA;P7R11CDPF1;P7R11CDPF;Recherche;CDPF
P7R11CEIE;NA;Non affecté;non;non;NA;P7R11CEIE1;P7R11CEIE;Recherche;CEIE
P7R11DRES;NA;Non affecté;non;non;NA;P7R11DRES1;P7R11DRES;Recherche;DRES
P7R11EUMU;NA;Non affecté;non;non;NA;P7R11EUMU1;P7R11EUMU;Recherche;EUMU
P7R11IRCM;NA;Non affecté;non;non;NA;P7R11IRCM1;P7R11IRCM;Recherche;IRCM
P7R11LRCE;NA;Non affecté;non;non;NA;P7R11LRCE1;P7R11LRCE;Recherche;LRCE
P7R11SAGE;NA;Non affecté;non;non;NA;P7R11SAGE1;P7R11SAGE;Recherche;SAGE
P7R12DYNA;NA;Non affecté;non;non;NA;P7R12DYNA1;P7R12DYNA;Recherche;DYNA
P7R13BETA;NA;Non affecté;non;non;NA;P7R13BETA1;P7R13BETA;Recherche;BETA
P7R13HUMA;NA;Non affecté;non;non;NA;P7R13HUMA1;P7R13HUMA;Recherche;HUMA
P7R13LARG;NA;Non affecté;non;non;NA;P7R13LARG1;P7R13LARG;Recherche;LARG
P7R14AHME;NA;Non affecté;non;non;NA;P7R14AHME1;P7R14AHME;Recherche;AHME
