Groupe1;Groupe2;Perimetre;CFParent;CF;Label;Societe
Composantes;ESB;1010;ESB;ESB1;ESB-LOG IMMO ET SECU;1010
Composantes;ESB;1010;ESB;ESB2;ESB-PIL ET LOG COMP;1010
Composantes;ESB;1010;ESB;ESB3;ESB-FORM DN;1010
Composantes;ESB;1010;ESB;ESB5;ESB-FORM NON DIPL;1010
Composantes;ESP;1010;CPE;ESP;TELECOM PHYS STRAS;1010
Composantes;ESP;1010;ESP;ESP1;ESP-LOG IMMO ET SECU;1010
Composantes;ESP;1010;ESP;ESP2;ESP-PIL ET LOG COMP;1010
Composantes;ESP;1010;ESP;ESP3;ESP-FORM DN;1010
Composantes;ESP;1010;ESP3;ESP3ING;ESP-FORM ING;1010
Composantes;GEO;1010;CPE;GEO;FAC DE GEOGRAPHIE;1010
Composantes;GEO;1010;GEO;GEO1;GEO-LOG IMMO ET SECU;1010
Composantes;GEO;1010;GEO;GEO2;GEO-PIL ET LOG COMP;1010
Composantes;GEO;1010;GEO2;GEO2VE;GEO-VEHICULES;1010
Composantes;GEO;1010;GEO;GEO3;GEO-FORM DN;1010
Composantes;HIS;1010;CPE;HIS;UFR SC HISTORIQUES;1010
Composantes;HIS;1010;HIS;HIS2;HIS-PIL ET LOG COMP;1010
Composantes;HIS;1010;HIS;HIS3;HIS-FORM DN;1010
Composantes;HIS;1010;HIS;HIS4;HIS-FORM DU;1010
Composantes;HIS;1010;HIS;HIS61;HIS-COLL EGYPT;1010
Composantes;HIS;1010;HIS;HIS62;HIS-COLL ARCH CLA;1010
Composantes;IEF;1010;CPE;IEF;IIEF;1010
Composantes;IEF;1010;IEF;IEF2;IEF-PIL ET LOG COMP;1010
Composantes;IEF;1010;IEF;IEF4;IEF-FORM DU;1010
Composantes;IEF;1010;IEF;IEF5;IEF-FORM NON DIPLOM;1010
Composantes;IEP;1010;CPE;IEP;INST ETUDES POL;1010
Composantes;IEP;1010;IEP;IEP1;IEP-LOG IMMO ET SECU;1010
Composantes;IEP;1010;IEP;IEP2;IEP-PIL ET LOG COMP;1010
Composantes;IEP;1010;IEP2;IEP2IM;IEP-SERV REPRO;1010
Composantes;IEP;1010;IEP;IEP3;IEP-FORM DN;1010
Composantes;IEP;1010;IEP3;IEP3DET;IEP-DET;1010
Composantes;IEP;1010;IEP3;IEP3DIEP;IEP-DIEP;1010
Composantes;IEP;1010;IEP3;IEP3MR1;IEP-MR ADM;1010
Composantes;IEP;1010;IEP3;IEP3MR2;IEP-MR SC POLI;1010
Composantes;IEP;1010;IEP3;IEP3MR3;IEP-MR FINANCES;1010
Composantes;IEP;1010;IEP3;IEP3MR4;IEP-MR EUROPE;1010
Composantes;IEP;1010;IEP3;IEP3MR5;IEP-MR RI;1010
Composantes;IEP;1010;IEP;IEP5;IEP-FORM NON DIPLOM;1010
Composantes;IHA;1010;CPE;IHA;IUT HAGUENAU;1010
Composantes;IHA;1010;IHA;IHA1;IHA-LOG IMMO ET SECU;1010
Composantes;IHA;1010;IHA;IHA2;IHA-PIL ET LOG COMP;1010
Composantes;IHA;1010;IHA2;IHA2PAI;IHA-MASSE SALARIALE;1010
Composantes;IHA;1010;IHA;IHA3;IHA-FORM DN;1010
Composantes;IHA;1010;IHA3;IHA3DP1;IHA-DPT GEII;1010
Composantes;IHA;1010;IHA3;IHA3DP2;IHA-DPT MMI;1010
Composantes;IHA;1010;IHA3;IHA3DP3;IHA-DPT QLIO;1010
Composantes;ILL;1010;CPE;ILL;IUT ILLKIRCH;1010
Composantes;ILL;1010;ILL;ILL1;ILL-LOG IMMO ET SECU;1010
Composantes;ILL;1010;ILL;ILL2;ILL-PIL ET LOG COMP;1010
Composantes;ILL;1010;ILL2;ILL2PAI;ILL-MASSE SALARIALE;1010
Composantes;ILL;1010;ILL;ILL3;ILL-FORM DN;1010
Composantes;ILL;1010;ILL3;ILL3DP1;ILL-DPT CHIMIE;1010
Composantes;ILL;1010;ILL3;ILL3DP2;ILL-DPT GENIE CIVIL;1010
Composantes;ILL;1010;ILL3;ILL3DP3;ILL-DPT INFORMATIQUE;1010
Composantes;ILL;1010;ILL3;ILL3DP4;ILL-DPT INFO COM;1010
Composantes;ILL;1010;ILL3;ILL3DP5;ILL-DPT TECH DE CO;1010
Composantes;ISC;1010;CPE;ISC;IUT DE SCHILTIGHEIM;1010
Composantes;ISC;1010;ISC;ISC1;ISC-LOG IMMO ET SECU;1010
Composantes;ISC;1010;ISC;ISC2;ISC-PIL ET LOG COMP;1010
Composantes;ISC;1010;ISC2;ISC2PAI;ISC-MASSE SALARIALE;1010
Composantes;ISC;1010;ISC;ISC3;ISC-FORM DN;1010
Composantes;ISC;1010;ISC3;ISC3DP1;ISC-DPT GB;1010
Composantes;ISC;1010;ISC3;ISC3DP2;ISC-DPT GIM;1010
Composantes;ISC;1010;ISC3;ISC3DP3;ISC-DPT MP;1010
Composantes;ISC;1010;ISC3;ISC3DP4;ISC-DPT GEA;1010
Composantes;ISC;1010;ISC3;ISC3DTC;ISC-COM DUT;1010
Composantes;ISC;1010;ISC3;ISC3LP1;ISC-LP CIMI;1010
Composantes;ISC;1010;ISC3;ISC3LP2;ISC-LP QSAPBS;1010
Composantes;ISC;1010;ISC3;ISC3LP3;ISC-LP M3E;1010
Composantes;ISC;1010;ISC3;ISC3LP4;ISC-LP TAM;1010
Composantes;ISC;1010;ISC3;ISC3LP6;ISC-LP GPS;1010
Composantes;ISC;1010;ISC3;ISC3LPC;ISC-COM LICENCES PRO;1010
Composantes;ISC;1010;ISC;ISC7;ISC-COLLEGIUM IUT;1010
Composantes;ITR;1010;CPE;ITR;INSTITUT DU TRAVAIL;1010
Composantes;ITR;1010;ITR;ITR1;ITR-LOG IMMO ET SECU;1010
Composantes;ITR;1010;ITR;ITR2;ITR-PIL ET LOG COMP;1010
Composantes;ITR;1010;ITR;ITR5;ITR-FORM NON DIPLOM;1010
Composantes;LET;1010;CPE;LET;FACULTE DES LETTRES;1010
Composantes;LET;1010;LET;LET2;LET-PIL ET LOG COMP;1010
Composantes;LET;1010;LET;LET3;LET-FORM DN;1010
Composantes;LET;1010;LET;LET8;LET-BIBLIOTHEQUE;1010
Composantes;LGE;1010;CPE;LGE;FACULTE DES LANGUES;1010
Composantes;LGE;1010;LGE;LGE2;LGE-PIL ET LOG COMP;1010
Composantes;LGE;1010;LGE;LGE3;LGE-FORM DN;1010
Composantes;LGE;1010;LGE3;LGE3LAN;LGE-LANSAD;1010
Composantes;LGE;1010;LGE3;LGE3LC;LGE-FORM LICENCE;1010
